Comment,Designator,Footprint,LCSC, LCSC Part #
22p,"C1,C2",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C1804
0.1u,"C3,C4,C5,C6,C9,C10",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C49678
4.7u,C7,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C1779
1u,C8,Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C28323
D,"D0_0,D1_0,D0_1,D1_1,D0_2,D1_2,D2_0,D2_1,D2_2,D0_3,D1_3,D2_3,D0_4,D1_4,D2_4,D3_3,D3_4,D0_5,D1_5,D0_6,D1_6,D0_7,D1_7,D2_5,D2_6,D2_7,D0_8,D1_8,D2_8,D0_9,D1_9,D2_9,D3_5,D3_6",Diode_SMD:D_SOD-123,,C81598
500mA,F1,Fuse:Fuse_1206_3216Metric,,C151162
USB C,J1,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,,C165948
TRRS,"Jack1,Jack0",kbd:TRRS-PJ-320A,,
10k,"R1,R2,R9",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C17414
22,"R4,R3",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,, C17561
5.1K,"R5,R6",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C27834
4.7k,"R7,R8",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,C17673
SW_PUSH,SW1,Button_Switch_SMD:SW_SPST_B3U-1000P,,C231329
ATmega32U4-AU,U1,Package_QFP:TQFP-44_10x10mm_P0.8mm,,C44854
MCP23017_SO,U2,Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm,,C47023
Crystal,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,,C13738
