Comment,Designator,Footprint,LCSC Part #
0.1u,C3 C4 C5 C6,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28233
1u,C8,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323
22p,C1 C2,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1804
4.7u,C7,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1779
D,"D0,0 D0,1 D0,2 D0,3 D0,4 D0,5 D0,6 D0,7 D0,8 D0,9 D1,0 D1,1 D1,2 D1,3 D1,4 D1,5 D1,6 D1,7 D1,8 D1,9 D2,0 D2,1 D2,2 D2,3 D2,4 D2,5 D2,6 D2,7 D2,8 D2,9 D3,2 D3,3 D3,4 D3,5 D3,6 D3,7",D_SOD123_hand,
USB C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
TRRS,Jack0 Jack1,TRRS-PJ-320A,C12569
KEYSW,"K0,0 K0,1 K0,2 K0,3 K0,4 K0,5 K0,6 K0,7 K0,8 K0,9 K1,0 K1,1 K1,2 K1,3 K1,4 K1,5 K1,6 K1,7 K1,8 K1,9 K2,0 K2,1 K2,2 K2,3 K2,4 K2,5 K2,6 K2,7 K2,8 K2,9 K3,2 K3,3 K3,4 K3,5 K3,6 K3,7",SW_PG1350,C489144
10k,R1 R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17414
22,R3 R4,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17561
4.7k,R7 R8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17673
5.1K,R5 R6,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17673
SW_PUSH,SW1,SW_SPST_B3U-1000P,C231329
ATMEGA32U4,U1,TQFP-44_10x10mm_P0.8mm,C44854
MCP23017_SS,U2,SSOP-28_5.3x10.2mm_P0.65mm,C47023
XTAL_GND,X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C89379
