Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.000000,-79.000000,180.000000,top
"C2","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",49.000000,-71.000000,180.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.000000,-82.000000,180.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",57.000000,-66.025000,90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.000000,-68.000000,180.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.180000,-77.500000,180.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.210000,-74.000000,180.000000,top
"C8","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.500000,-66.000000,90.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",130.000000,-71.500000,180.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",122.000000,-71.500000,0.000000,top
"D0_0","D","D_SOD-123",22.000000,-35.000000,180.000000,top
"D0_1","D","D_SOD-123",40.000000,-23.250000,180.000000,top
"D0_2","D","D_SOD-123",58.000000,-17.250000,180.000000,top
"D0_3","D","D_SOD-123",76.000000,-22.750000,180.000000,top
"D0_4","D","D_SOD-123",94.000000,-25.250000,180.000000,top
"D0_5","D","D_SOD-123",142.000000,-25.300000,180.000000,top
"D0_6","D","D_SOD-123",160.000000,-22.800000,180.000000,top
"D0_7","D","D_SOD-123",178.000000,-17.300000,180.000000,top
"D0_8","D","D_SOD-123",196.000000,-23.300000,180.000000,top
"D0_9","D","D_SOD-123",214.000000,-35.200000,180.000000,top
"D1_0","D","D_SOD-123",22.000000,-52.000000,180.000000,top
"D1_1","D","D_SOD-123",40.000000,-40.250000,180.000000,top
"D1_2","D","D_SOD-123",58.000000,-34.250000,180.000000,top
"D1_3","D","D_SOD-123",76.000000,-39.500000,180.000000,top
"D1_4","D","D_SOD-123",94.000000,-42.250000,180.000000,top
"D1_5","D","D_SOD-123",142.000000,-42.300000,180.000000,top
"D1_6","D","D_SOD-123",160.000000,-39.800000,180.000000,top
"D1_7","D","D_SOD-123",178.000000,-34.300000,180.000000,top
"D1_8","D","D_SOD-123",196.000000,-40.200000,180.000000,top
"D1_9","D","D_SOD-123",214.000000,-52.300000,180.000000,top
"D2_0","D","D_SOD-123",22.000000,-69.250000,180.000000,top
"D2_1","D","D_SOD-123",40.000000,-57.250000,180.000000,top
"D2_2","D","D_SOD-123",58.000000,-51.000000,180.000000,top
"D2_3","D","D_SOD-123",76.000000,-56.750000,180.000000,top
"D2_4","D","D_SOD-123",94.000000,-59.250000,180.000000,top
"D2_5","D","D_SOD-123",142.000000,-59.300000,180.000000,top
"D2_6","D","D_SOD-123",160.000000,-56.700000,180.000000,top
"D2_7","D","D_SOD-123",178.000000,-51.300000,180.000000,top
"D2_8","D","D_SOD-123",196.000000,-57.300000,180.000000,top
"D2_9","D","D_SOD-123",214.000000,-69.200000,180.000000,top
"D3_3","D","D_SOD-123",87.180000,-77.210000,165.000000,top
"D3_4","D","D_SOD-123",106.840000,-85.280000,150.000000,top
"D3_5","D","D_SOD-123",129.100000,-85.400000,210.000000,top
"D3_6","D","D_SOD-123",148.900000,-77.100000,195.000000,top
"F1","500mA","Fuse_1206_3216Metric",114.000000,-66.000000,0.000000,top
"J1","USB C","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.640000,-56.010000,180.000000,top
"R1","10kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",39.975000,-72.000000,0.000000,top
"R2","10kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.160000,-81.000000,180.000000,top
"R3","22Ω","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",110.530000,-70.000000,90.000000,top
"R4","22Ω","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",108.000000,-70.000000,90.000000,top
"R5","5.1KΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.500000,-63.000000,180.000000,top
"R6","5.1KΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.000000,-63.000000,0.000000,top
"R7","4.7kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.970000,-70.000000,90.000000,top
"R8","4.7kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",115.400000,-70.000000,270.000000,top
"R9","10kΩ","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",126.000000,-71.500000,0.000000,top
"SW1","Reset","SW_SPST_B3U-1000P",40.000000,-77.000000,90.000000,top
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",59.500000,-75.000000,270.000000,top
"U2","MCP23017_SO","SOIC-28W_7.5x17.9mm_P1.27mm",126.000000,-61.040000,0.000000,top
"Y1","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",48.500000,-75.000000,90.000000,top
